what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.GitRepositoryExploring",1329773917424
activated,view,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesView",1329773917495
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.RepositoriesViewRefresh",1329773945389
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329773961672
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329773986409
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329773996610
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774005669
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Commit",1329774005680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774005960
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774006036
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.CheckoutCommand",1329774014693
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774014967
error,log,,,"Branch failed",1329774015151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774017693
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.SimplePush",1329774026053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774026332
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774040652
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.SimpleFetch",1329774062244
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774062516
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774064395
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774066316
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774070653
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774079701
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774083945
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.FetchGerritChange",1329774083956
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.SimpleFetch",1329774094584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774094854
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774096438
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774097961
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774099611
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774103549
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774103588
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774103690
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774114903
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Fetch",1329774114920
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.team.Pull",1329774124069
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774124114
error,log,,,"The current branch is not configured for pull",1329774124143
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774126625
executed,command,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui.CheckoutCommand",1329774130537
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774130848
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774148248
no handler,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329774158512
activated,perspective,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.JavaPerspective",1329774160526
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1329774160612
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1329774161540
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774177817
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774178938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774182236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1329774203514
